Time,Symbol,Message
04/07/2017 10:04:45,GNC,$GNC reached a new low of $6.635
04/07/2017 10:04:36,INAP,$INAP reached a new low of $3.4782
04/07/2017 10:04:36,RIC,$RIC reached a new low of $7.8
04/07/2017 10:04:24,ONVO,$ONVO reached a new low of $3.06
04/07/2017 10:04:24,NMM,$NMM reached a new low of $2.145
04/07/2017 10:04:21,BDJ,$BDJ reached a new low of $8.502
04/07/2017 10:04:15,OPHT,$OPHT reached a new low of $3.12
04/07/2017 10:04:15,RIGL,$RIGL reached a new low of $3.04
04/07/2017 10:04:06,GCAP,$GCAP reached a new low of $8.24
04/07/2017 10:03:57,SRRA,$SRRA reached a new low of $1.43
04/07/2017 10:03:57,DHF,$DHF reached a new low of $3.409
04/07/2017 10:03:57,UCFC,$UCFC reached a new low of $8.22
04/07/2017 10:03:54,GALT,$GALT reached a new low of $2.65
04/07/2017 10:03:51,DSX,$DSX reached a new low of $5.85
04/07/2017 10:03:45,DHX,$DHX reached a new low of $4.525
04/07/2017 10:03:27,MICT,$MICT reached a new low of $1.29
04/07/2017 10:03:27,OCN,$OCN reached a new low of $5.35
04/07/2017 10:03:21,DRYS,$DRYS reached a new low of $0.752
04/07/2017 10:03:15,TEAR,$TEAR reached a new low of $2.263
04/07/2017 10:03:12,RT,$RT reached a new low of $2.5604
04/07/2017 10:02:54,HGT,$HGT reached a new low of $2.175
04/07/2017 10:02:15,DRNA,$DRNA reached a new low of $3.3
04/07/2017 10:02:15,SPAR,$SPAR reached a new low of $7.8
04/07/2017 10:02:12,HTGM,$HTGM reached a new low of $6.66
04/07/2017 10:02:06,EGLE,$EGLE reached a new low of $5.3062
04/07/2017 10:01:54,JASO,$JASO reached a new low of $6.71
04/07/2017 10:01:30,CLNT,$CLNT reached a new low of $8.5718
04/07/2017 10:01:30,NXTD,$NXTD reached a new low of $1.77
04/07/2017 10:01:12,NVCR,$NVCR reached a new low of $10.95
04/07/2017 10:01:06,STKL,$STKL reached a new low of $6.85
04/07/2017 10:00:54,EVRI,$EVRI reached a new low of $4.77
04/07/2017 10:00:51,AUPH,$AUPH reached a new low of $7.055
04/07/2017 10:00:42,ECYT,$ECYT reached a new low of $2.3392
04/07/2017 10:00:36,VRAY,$VRAY reached a new low of $7.95
04/07/2017 10:00:30,CBK,$CBK reached a new low of $1.305
04/07/2017 10:00:21,DRYS,$DRYS reached a new low of $0.752
04/07/2017 09:59:57,GLUU,$GLUU reached a new low of $2.2999
04/07/2017 09:59:42,ATHX,$ATHX reached a new low of $1.5249
04/07/2017 09:59:42,OCN,$OCN reached a new low of $5.35
04/07/2017 09:59:36,BGY,$BGY reached a new low of $5.8501
04/07/2017 09:59:30,LGCY,$LGCY reached a new low of $2.29
04/07/2017 09:59:15,GOGL,$GOGL reached a new low of $8.755
04/07/2017 09:59:15,PSTI,$PSTI reached a new low of $1.53
04/07/2017 09:59:06,EARS,$EARS reached a new low of $0.76
04/07/2017 09:59:06,REPH,$REPH reached a new low of $8.2
04/07/2017 09:58:36,NOA,$NOA reached a new low of $5.1525
04/07/2017 09:58:36,RIC,$RIC reached a new low of $7.85
04/07/2017 09:58:12,HTGM,$HTGM reached a new low of $6.6799
04/07/2017 09:58:06,CCCR,$CCCR reached a new low of $1.85
04/07/2017 09:58:06,CDXS,$CDXS reached a new low of $4.15
04/07/2017 09:57:57,MEET,$MEET reached a new low of $5.64
04/07/2017 09:57:27,USAT,$USAT reached a new low of $4.475
04/07/2017 09:57:21,DRYS,$DRYS reached a new low of $0.7533
04/07/2017 09:57:09,DHT,$DHT reached a new low of $4.5
04/07/2017 09:57:06,AXAS,$AXAS reached a new low of $2.261
04/07/2017 09:57:06,NM,$NM reached a new low of $1.925
04/07/2017 09:56:36,GSL,$GSL reached a new low of $1.4064
04/07/2017 09:56:30,UNIS,$UNIS reached a new low of $0.29
04/07/2017 09:56:24,GALT,$GALT reached a new low of $2.6425
04/07/2017 09:56:12,AXTI,$AXTI reached a new low of $5.85
04/07/2017 09:56:06,LEDS,$LEDS reached a new low of $3.4
04/07/2017 09:56:06,VRAY,$VRAY reached a new low of $8
04/07/2017 09:55:51,INFI,$INFI reached a new low of $2.4
04/07/2017 09:55:42,ATHX,$ATHX reached a new low of $1.4999
04/07/2017 09:55:36,KGJI,$KGJI reached a new low of $1.1
04/07/2017 09:55:36,XGTI,$XGTI reached a new low of $1.45
04/07/2017 09:55:30,PNNT,$PNNT reached a new low of $8
04/07/2017 09:55:24,EVRI,$EVRI reached a new low of $4.82
04/07/2017 09:55:15,SGMO,$SGMO reached a new low of $4.35
04/07/2017 09:55:00,GOGL,$GOGL reached a new low of $8.79
04/07/2017 09:54:57,NVCR,$NVCR reached a new low of $10.95
04/07/2017 09:54:51,CCCR,$CCCR reached a new low of $1.87
04/07/2017 09:54:30,MVIS,$MVIS reached a new low of $2.2908
04/07/2017 09:54:30,SSH,$SSH reached a new low of $1.8
04/07/2017 09:54:27,CCCL,$CCCL reached a new low of $2.28
04/07/2017 09:54:27,GNMX,$GNMX reached a new low of $1.65
04/07/2017 09:54:24,ONVO,$ONVO reached a new low of $3.0446
04/07/2017 09:54:06,DRYS,$DRYS reached a new low of $0.7548
04/07/2017 09:54:06,SDLP,$SDLP reached a new low of $2.92
04/07/2017 09:53:57,CGA,$CGA reached a new low of $1.3
04/07/2017 09:53:45,CLNT,$CLNT reached a new low of $8.555
04/07/2017 09:53:39,NMM,$NMM reached a new low of $2.145
04/07/2017 09:53:27,CACB,$CACB reached a new low of $7.61
04/07/2017 09:53:27,CROX,$CROX reached a new low of $6.54
04/07/2017 09:53:27,RT,$RT reached a new low of $2.55
04/07/2017 09:53:27,TROV,$TROV reached a new low of $0.95
04/07/2017 09:53:24,HIO,$HIO reached a new low of $5.1089
04/07/2017 09:53:21,VNCE,$VNCE reached a new low of $1.35
04/07/2017 09:53:12,AREX,$AREX reached a new low of $2.59
04/07/2017 09:53:12,BCRX,$BCRX reached a new low of $7.18
04/07/2017 09:53:00,DHX,$DHX reached a new low of $4.62
04/07/2017 09:53:00,KZ,$KZ reached a new low of $7.41
04/07/2017 09:52:57,CVEO,$CVEO reached a new low of $3.085
04/07/2017 09:52:57,NEPT,$NEPT reached a new low of $1.02
04/07/2017 09:52:45,DRD,$DRD reached a new low of $4.9801
